16.2814,21.0951,61.4197,47.4044
17.1627,31.2825,58.2658,31.9668
16.7082,18.3266,59.8507,54.5655
16.593,19.2172,60.2663,52.0367
16.652,17.4846,60.0527,57.1932
16.7147,26.617,59.8276,37.57
16.6003,17.9187,60.2399,55.8076
17.2047,32.9453,58.1236,30.3533
16.6695,17.738,59.9897,56.3761
16.6601,20.6124,60.0237,48.5145
16.6275,17.5699,60.1412,56.9155
16.6532,17.4408,60.0484,57.3368
16.6774,18.2107,59.9615,54.9128
16.6613,17.7907,60.0193,56.2091
16.6431,18.0403,60.085,55.4315
16.6237,18.535,60.1551,53.952
16.7081,21.1455,59.8511,47.2914
17.1976,35.298,58.1476,28.3302
16.6228,19.0811,60.1585,52.4079
16.7057,19.2802,59.8597,51.8667
16.6031,18.7239,60.2299,53.4077
16.6504,18.4058,60.0586,54.3307
16.6524,18.0187,60.0513,55.4979
16.6328,17.8156,60.1222,56.1306
16.6721,17.6764,59.9803,56.5726
16.7079,18.1174,59.8518,55.1956
16.5813,18.1455,60.3091,55.1101
16.663,18.7944,60.0131,53.2073
16.6506,17.6147,60.058,56.7708
16.6522,18.3252,60.0521,54.5697
16.6518,19.6701,60.0534,50.8386
16.7166,18.3225,59.8207,54.5777
16.5897,17.4325,60.2785,57.3641
16.6543,17.8989,60.0445,55.8694
16.6502,17.1912,60.0594,58.1693
16.6561,18.8262,60.0382,53.1175
16.6499,18.4025,60.0606,54.3404
16.6526,18.7812,60.0507,53.2447
16.6607,18.3046,60.0216,54.6311
16.6441,18.3994,60.0815,54.3496
16.6577,18.3304,60.0324,54.5542
16.6454,17.2051,60.0767,58.1223
16.6604,18.8494,60.0227,53.0521
16.6541,17.2376,60.0452,58.0127
16.6523,17.213,60.0517,58.0956
16.649,18.8973,60.0638,52.9176
16.6693,17.6086,59.9906,56.7904
16.645,17.4317,60.0782,57.3668
16.6647,18.4316,60.0072,54.2546
16.7188,18.1563,59.8128,55.0773
16.587,17.8075,60.288,56.1561
16.7161,18.1011,59.8225,55.2453
16.5803,17.0187,60.3125,58.7589
16.65,18.381,60.06,54.404
16.6718,18.3287,59.9815,54.5592
16.6508,18.1437,60.0573,55.1155
16.637,17.3147,60.107,57.7544
16.7034,19.4181,59.868,51.4983
